['Level']	Test Error: [0.35595314]
['Area']	Test Error: [0.19681826]
['Floor']	Test Error: [0.48223755]
['Rooms']	Test Error: [0.44687292]
['Pool']	Test Error: [0.35455641]
['Garage']	Test Error: [0.33227711]
['Garden']	Test Error: [0.35579255]
['Age']	Test Error: [0.47750149]
['Theater']	Test Error: [0.35560403]
['Level', 'Area']	Test Error: [0.14136049]
['Level', 'Floor']	Test Error: [0.3545398]
['Level', 'Rooms']	Test Error: [0.33860364]
['Level', 'Pool']	Test Error: [0.29930678]
['Level', 'Garage']	Test Error: [0.28293639]
['Level', 'Garden']	Test Error: [0.30067499]
['Level', 'Age']	Test Error: [0.35263393]
['Level', 'Theater']	Test Error: [0.30017813]
['Area', 'Floor']	Test Error: [0.19485215]
['Area', 'Rooms']	Test Error: [0.19589154]
['Area', 'Pool']	Test Error: [0.19682786]
['Area', 'Garage']	Test Error: [0.1965994]
['Area', 'Garden']	Test Error: [0.19675746]
['Area', 'Age']	Test Error: [0.19153483]
['Area', 'Theater']	Test Error: [0.19679629]
['Floor', 'Rooms']	Test Error: [0.44621888]
['Floor', 'Pool']	Test Error: [0.35333042]
['Floor', 'Garage']	Test Error: [0.33091285]
['Floor', 'Garden']	Test Error: [0.35457743]
['Floor', 'Age']	Test Error: [0.47695518]
['Floor', 'Theater']	Test Error: [0.35438183]
['Rooms', 'Pool']	Test Error: [0.34746168]
['Rooms', 'Garage']	Test Error: [0.32898211]
['Rooms', 'Garden']	Test Error: [0.34845299]
['Rooms', 'Age']	Test Error: [0.44116823]
['Rooms', 'Theater']	Test Error: [0.34832903]
['Pool', 'Garage']	Test Error: [0.304599]
['Pool', 'Garden']	Test Error: [0.3134462]
['Pool', 'Age']	Test Error: [0.34865555]
['Pool', 'Theater']	Test Error: [0.31299938]
['Garage', 'Garden']	Test Error: [0.3050129]
['Garage', 'Age']	Test Error: [0.32550952]
['Garage', 'Theater']	Test Error: [0.30502583]
['Garden', 'Age']	Test Error: [0.34976129]
['Garden', 'Theater']	Test Error: [0.31370725]
['Age', 'Theater']	Test Error: [0.34938888]
['Level', 'Area', 'Floor']	Test Error: [0.13836337]
['Level', 'Area', 'Rooms']	Test Error: [0.14066358]
['Level', 'Area', 'Pool']	Test Error: [0.14136586]
['Level', 'Area', 'Garage']	Test Error: [0.14119103]
['Level', 'Area', 'Garden']	Test Error: [0.14134104]
['Level', 'Area', 'Age']	Test Error: [0.11593813]
['Level', 'Area', 'Theater']	Test Error: [0.14135982]
['Level', 'Floor', 'Rooms']	Test Error: [0.33660494]
['Level', 'Floor', 'Pool']	Test Error: [0.29833044]
['Level', 'Floor', 'Garage']	Test Error: [0.28204019]
['Level', 'Floor', 'Garden']	Test Error: [0.29965128]
['Level', 'Floor', 'Age']	Test Error: [0.35114624]
['Level', 'Floor', 'Theater']	Test Error: [0.29915691]
['Level', 'Rooms', 'Pool']	Test Error: [0.29487694]
['Level', 'Rooms', 'Garage']	Test Error: [0.28184058]
['Level', 'Rooms', 'Garden']	Test Error: [0.29607887]
['Level', 'Rooms', 'Age']	Test Error: [0.33763342]
['Level', 'Rooms', 'Theater']	Test Error: [0.29568108]
['Level', 'Pool', 'Garage']	Test Error: [0.2611871]
['Level', 'Pool', 'Garden']	Test Error: [0.26780386]
['Level', 'Pool', 'Age']	Test Error: [0.29448029]
['Level', 'Pool', 'Theater']	Test Error: [0.26740979]
['Level', 'Garage', 'Garden']	Test Error: [0.2617176]
['Level', 'Garage', 'Age']	Test Error: [0.27442372]
['Level', 'Garage', 'Theater']	Test Error: [0.26152731]
['Level', 'Garden', 'Age']	Test Error: [0.2957428]
['Level', 'Garden', 'Theater']	Test Error: [0.26812343]
['Level', 'Age', 'Theater']	Test Error: [0.2950953]
['Area', 'Floor', 'Rooms']	Test Error: [0.1939211]
['Area', 'Floor', 'Pool']	Test Error: [0.19486122]
['Area', 'Floor', 'Garage']	Test Error: [0.19464806]
['Area', 'Floor', 'Garden']	Test Error: [0.19479289]
['Area', 'Floor', 'Age']	Test Error: [0.18965114]
['Area', 'Floor', 'Theater']	Test Error: [0.19482911]
['Area', 'Rooms', 'Pool']	Test Error: [0.1959238]
['Area', 'Rooms', 'Garage']	Test Error: [0.1958204]
['Area', 'Rooms', 'Garden']	Test Error: [0.19589455]
['Area', 'Rooms', 'Age']	Test Error: [0.19049854]
['Area', 'Rooms', 'Theater']	Test Error: [0.1959129]
['Area', 'Pool', 'Garage']	Test Error: [0.19662469]
['Area', 'Pool', 'Garden']	Test Error: [0.19677222]
['Area', 'Pool', 'Age']	Test Error: [0.19154684]
['Area', 'Pool', 'Theater']	Test Error: [0.19680726]
['Area', 'Garage', 'Garden']	Test Error: [0.19657932]
['Area', 'Garage', 'Age']	Test Error: [0.19130475]
['Area', 'Garage', 'Theater']	Test Error: [0.19660573]
['Area', 'Garden', 'Age']	Test Error: [0.19147059]
['Area', 'Garden', 'Theater']	Test Error: [0.19674688]
['Area', 'Age', 'Theater']	Test Error: [0.19151307]
['Floor', 'Rooms', 'Pool']	Test Error: [0.346251]
['Floor', 'Rooms', 'Garage']	Test Error: [0.32768122]
['Floor', 'Rooms', 'Garden']	Test Error: [0.34724868]
['Floor', 'Rooms', 'Age']	Test Error: [0.44062524]
['Floor', 'Rooms', 'Theater']	Test Error: [0.34710997]
['Floor', 'Pool', 'Garage']	Test Error: [0.30307424]
['Floor', 'Pool', 'Garden']	Test Error: [0.31199611]
['Floor', 'Pool', 'Age']	Test Error: [0.34745766]
['Floor', 'Pool', 'Theater']	Test Error: [0.31155112]
['Floor', 'Garage', 'Garden']	Test Error: [0.3034879]
['Floor', 'Garage', 'Age']	Test Error: [0.32412576]
['Floor', 'Garage', 'Theater']	Test Error: [0.30346401]
['Floor', 'Garden', 'Age']	Test Error: [0.34859046]
['Floor', 'Garden', 'Theater']	Test Error: [0.31223734]
['Floor', 'Age', 'Theater']	Test Error: [0.34817759]
['Rooms', 'Pool', 'Garage']	Test Error: [0.30427059]
['Rooms', 'Pool', 'Garden']	Test Error: [0.31236422]
['Rooms', 'Pool', 'Age']	Test Error: [0.34179009]
['Rooms', 'Pool', 'Theater']	Test Error: [0.31191295]
['Rooms', 'Garage', 'Garden']	Test Error: [0.3046779]
['Rooms', 'Garage', 'Age']	Test Error: [0.32245375]
['Rooms', 'Garage', 'Theater']	Test Error: [0.30469017]
['Rooms', 'Garden', 'Age']	Test Error: [0.34259288]
['Rooms', 'Garden', 'Theater']	Test Error: [0.31256641]
['Rooms', 'Age', 'Theater']	Test Error: [0.34230139]
['Pool', 'Garage', 'Garden']	Test Error: [0.29185584]
['Pool', 'Garage', 'Age']	Test Error: [0.29887423]
['Pool', 'Garage', 'Theater']	Test Error: [0.29168874]
